country_code,country_name,year,GDP_PC,UNEMP,INFLATION,POPULATION,LIFE_EXP,INTERNET
BRA,Brazil,2000,3766.54786339835,10.889,7.04414105947265,174543353.83,69.67508000000001,3.251981391953189
BRA,Brazil,2001,3176.28975052524,10.649,6.84035902487523,176301203.0,69.98,4.52849486902851
BRA,Brazil,2002,2909.9135168355742,10.641,8.45016437708331,178503484.0,70.396,9.14942508560748
BRA,Brazil,2003,3090.6068907839,11.168,13.464912587168122,180622688.0,70.884,13.2075861035303
BRA,Brazil,2004,3663.82262497811,10.072,6.59718509985963,182675143.0,71.361,19.073672274442
BRA,Brazil,2005,4827.78165890291,10.551,6.86953720898964,184688101.0,71.832,21.022747248827
BRA,Brazil,2006,5934.14561857454,9.692,4.18356812896909,186653106.0,72.296,28.17840004
BRA,Brazil,2007,7409.69003822861,9.28,3.64127299102652,188552320.0,72.73,30.87999916
BRA,Brazil,2008,8908.33338467948,8.268,5.67859390284168,190367302.0,73.111,33.83
BRA,Brazil,2009,8678.6584730653,9.419,4.88803479876798,192079951.0,73.457,39.22
BRA,Brazil,2010,11403.2840038694,8.42,5.03872690108074,193701929.0,73.779,40.65
BRA,Brazil,2011,13195.398747621139,7.578,6.6364496221309,195284734.0,74.047,45.69
BRA,Brazil,2012,12521.7238454434,7.251,5.40349914036997,196876111.0,74.335,48.56
BRA,Brazil,2013,12458.8903396625,7.071,6.204310666401,198478299.0,74.609,51.04
BRA,Brazil,2014,12274.9941630213,6.82768,6.32904015516138,200085127.0,74.823,54.5510018796392
BRA,Brazil,2015,8936.1955889444,8.538,9.02990102416136,201675532.0,75.106,58.3279517340924
BRA,Brazil,2016,8836.28546025694,11.58,8.73914352329393,203218114.0,75.081,60.8725400681261
BRA,Brazil,2017,10080.5078722821,12.792,3.44637335032669,204703445.0,75.383,67.4712845236305
BRA,Brazil,2018,9300.66072904004,12.329,3.66485028376728,206107261.0,75.633,70.4342825404361
BRA,Brazil,2019,9029.83304401079,11.936,3.73297621216893,207455459.0,75.809,73.9124399133589
BRA,Brazil,2020,7074.19407495707,13.57303,3.2657272598611335,208660842.0,74.506,81.34269353
BRA,Brazil,2021,7972.53696080695,13.158,8.30165975585673,209550294.0,73.038,80.68989314
BRA,Brazil,2022,9281.33282136864,9.231,9.28010608956872,210306415.0,74.872,80.52775094
BRA,Brazil,2023,10377.5897719195,7.947,4.59356282283203,210948836.78,75.83903,83.5047833445
CHN,China,2000,991.3269999675347,3.3842,0.347811226864586,1264762150.0,72.37701,1.9745727186336013
CHN,China,2001,1065.40597574519,3.8,0.719125609120113,1271850000.0,72.675,2.63965021485872
CHN,China,2002,1163.55957673426,4.24,-0.7310956025242537,1280400000.0,73.034,4.59570433077551
CHN,China,2003,1306.97245408557,4.58,1.12760348729637,1288400000.0,73.385,6.2
CHN,China,2004,1530.92726215723,4.49,3.82463743108159,1296075000.0,73.727,7.3
CHN,China,2005,1777.64496828464,4.52,1.7764140766757,1303720000.0,74.085,8.52325700269541
CHN,China,2006,2129.25696999613,4.43,1.64943099455859,1311020000.0,74.404,10.5231526193851
CHN,China,2007,2734.72709877693,4.35,4.81676767378834,1317885000.0,74.789,16.0
CHN,China,2008,3523.44302065213,4.59,5.839840307408634,1324655000.0,74.833,22.6
CHN,China,2009,3898.24459158811,4.72,-0.728165250932898,1331260000.0,75.317,28.9
CHN,China,2010,4629.24551710077,4.53,3.17532475269199,1337705000.0,75.668,34.3
CHN,China,2011,5703.76027973346,4.55,5.55389892257493,1345035000.0,75.889,38.3
CHN,China,2012,6405.0574241349,4.58,2.6195243264554,1354190000.0,76.2,42.30009842
CHN,China,2013,7147.03518622344,4.6,2.62105001748114,1363240000.0,76.452,45.79999924
CHN,China,2014,7781.06597484974,4.63,1.9216416278852,1371860000.0,76.714,47.90000153
CHN,China,2015,8175.33285077393,4.65,1.43702380935654,1379860000.0,76.975,50.29999924
CHN,China,2016,8254.86859320357,4.56,2.00000182191943,1387790000.0,77.214,53.2
CHN,China,2017,8979.67652709856,4.47,1.59313600071435,1396215000.0,77.235,54.3
CHN,China,2018,10085.6638148819,4.31,2.07479039965576,1402760000.0,77.709,65.35839844
CHN,China,2019,10342.9009524335,4.56,2.89923416358226,1407745000.0,77.94,64.080881297515
CHN,China,2020,10627.4637989619,4.9954,2.41942189457782,1411100000.0,78.019,70.05275998
CHN,China,2021,12887.4357242941,4.55,0.981015135544881,1412317450.0,78.117,73.05323517
